city,country,date,day,encore2_song_count,encore_song_count,month,rating,relative_date,set1_song_count,set2_song_count,set3_song_count,state,total_song_count,venue,year
Uniondale,USA,1998-04-02,2,0.0,1.0,4,4.6149,21 years ago,8.0,9.0,0.0,NY,18.0,"<a href=""http://phish.net/venue/242/Nassau_Veterans_Memorial_Coliseum"">Nassau Veterans Memorial Coliseum</a>",1998
Uniondale,USA,1998-04-03,3,0.0,3.0,4,4.6775,21 years ago,9.0,4.0,0.0,NY,16.0,"<a href=""http://phish.net/venue/242/Nassau_Veterans_Memorial_Coliseum"">Nassau Veterans Memorial Coliseum</a>",1998
Providence,USA,1998-04-04,4,0.0,1.0,4,4.6254,21 years ago,8.0,6.0,0.0,RI,15.0,"<a href=""http://phish.net/venue/440/Providence_Civic_Center"">Providence Civic Center</a>",1998
Providence,USA,1998-04-05,5,0.0,1.0,4,4.617,21 years ago,8.0,8.0,0.0,RI,17.0,"<a href=""http://phish.net/venue/440/Providence_Civic_Center"">Providence Civic Center</a>",1998
Uniondale,USA,1998-04-02,2,0.0,1.0,4,4.6149,21 years ago,8.0,9.0,0.0,NY,18.0,"<a href=""http://phish.net/venue/242/Nassau_Veterans_Memorial_Coliseum"">Nassau Veterans Memorial Coliseum</a>",1998
Uniondale,USA,1998-04-03,3,0.0,3.0,4,4.6775,21 years ago,9.0,4.0,0.0,NY,16.0,"<a href=""http://phish.net/venue/242/Nassau_Veterans_Memorial_Coliseum"">Nassau Veterans Memorial Coliseum</a>",1998
Providence,USA,1998-04-04,4,0.0,1.0,4,4.6254,21 years ago,8.0,6.0,0.0,RI,15.0,"<a href=""http://phish.net/venue/440/Providence_Civic_Center"">Providence Civic Center</a>",1998
Providence,USA,1998-04-05,5,0.0,1.0,4,4.617,21 years ago,8.0,8.0,0.0,RI,17.0,"<a href=""http://phish.net/venue/440/Providence_Civic_Center"">Providence Civic Center</a>",1998
,,1983-10-30,30,,,10,,,,,,,,,1983
Burlington,USA,1983-12-02,2,0.0,0.0,12,3.9322,35 years ago,6.0,2.0,0.0,VT,8.0,"<a href=""http://phish.net/venue/7/Harris-Millis_Cafeteria_-_University_of_Vermont"">Harris-Millis Cafeteria, UVM</a>",1983
,,1983-12-03,3,,,12,,,,,,,,,1983
Burlington,USA,1984-10-23,23,0.0,0.0,10,4.1667,35 years ago,1.0,0.0,0.0,VT,1.0,"<a href=""http://phish.net/venue/46/69_Grant_Street"">69 Grant Street</a>",1984
Burlington,USA,1984-11-03,3,0.0,0.0,11,3.1111,35 years ago,11.0,0.0,0.0,VT,11.0,"<a href=""http://phish.net/venue/246/Slade_Hall%2C_University_of_Vermont"">Slade Hall, University of Vermont</a>",1984
Burlington,USA,1984-12-01,1,0.0,1.0,12,3.7021,34 years ago,18.0,0.0,0.0,VT,19.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1984
Burlington,USA,1985-02-01,1,0.0,0.0,2,4.3333,34 years ago,9.0,0.0,0.0,VT,9.0,"<a href=""http://phish.net/venue/344/Doolin%27s"">Doolin's</a>",1985
,,1985-02-15,15,,,2,,,,,,,,,1985
,,1985-02-22,22,,,2,,,,,,,,,1985
,,1985-02-25,25,,,2,,,,,,,,,1985
,,1985-03-02,2,,,3,,,,,,,,,1985
Burlington,USA,1985-03-04,4,0.0,0.0,3,2.6452,34 years ago,5.0,0.0,0.0,VT,5.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1985
Burlington,USA,1985-03-08,8,0.0,0.0,3,4.0,34 years ago,1.0,0.0,0.0,VT,1.0,"<a href=""http://phish.net/venue/344/Doolin%27s"">Doolin's</a>",1985
Burlington,USA,1985-03-16,16,0.0,0.0,3,2.0,34 years ago,5.0,0.0,0.0,VT,5.0,"<a href=""http://phish.net/venue/344/Doolin%27s"">Doolin's</a>",1985
,,1985-03-29,29,,,3,,,,,,,,,1985
Burlington,USA,1985-04-06,6,0.0,0.0,4,4.1538,34 years ago,17.0,2.0,1.0,VT,20.0,"<a href=""http://phish.net/venue/346/Finbar%27s"">Finbar's</a>",1985
,,1985-04-19,19,,,4,,,,,,,,,1985
,,1985-04-21,21,,,4,,,,,,,,,1985
,,1985-05-01,1,,,5,,,,,,,,,1985
Burlington,USA,1985-05-03,3,0.0,1.0,5,3.6,34 years ago,4.0,6.0,7.0,VT,18.0,"<a href=""http://phish.net/venue/348/University_of_Vermont"">University of Vermont</a>",1985
,,1985-05-07,7,,,5,,,,,,,,,1985
Burlington,USA,1985-05-31,31,0.0,0.0,5,3.8,34 years ago,1.0,0.0,0.0,VT,1.0,"<a href=""http://phish.net/venue/246/Slade_Hall%2C_University_of_Vermont"">Slade Hall, University of Vermont</a>",1985
Burlington,USA,1985-09-26,26,0.0,0.0,9,3.7857,34 years ago,7.0,0.0,0.0,VT,7.0,"<a href=""http://phish.net/venue/349/WRUV_Radio"">WRUV Radio</a>",1985
Burlington,USA,1985-09-27,27,0.0,0.0,9,3.5,34 years ago,9.0,4.0,9.0,VT,22.0,"<a href=""http://phish.net/venue/246/Slade_Hall%2C_University_of_Vermont"">Slade Hall, University of Vermont</a>",1985
Burlington,USA,1985-10-17,17,0.0,0.0,10,3.0385,34 years ago,11.0,0.0,0.0,VT,11.0,"<a href=""http://phish.net/venue/346/Finbar%27s"">Finbar's</a>",1985
,,1985-10-20,20,,,10,,,,,,,,,1985
,,1985-10-26,26,,,10,,,,,,,,,1985
Burlington,USA,1985-10-30,30,0.0,0.0,10,3.25,34 years ago,12.0,0.0,0.0,VT,12.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1985
,,1985-11-02,2,,,11,,,,,,,,,1985
Burlington,USA,1985-11-14,14,0.0,0.0,11,3.1579,33 years ago,8.0,0.0,0.0,VT,8.0,"<a href=""http://phish.net/venue/350/Memorial_Auditorium_Basement"">Memorial Auditorium Basement</a>",1985
Plainfield,USA,1985-11-23,23,0.0,0.0,11,3.8065,33 years ago,1.0,4.0,0.0,VT,5.0,"<a href=""http://phish.net/venue/347/Goddard_College"">Goddard College</a>",1985
,,1985-12-13,13,,,12,,,,,,,,,1985
Burlington,USA,1986-02-03,3,0.0,0.0,2,2.2727,33 years ago,9.0,4.0,0.0,VT,13.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1986
,,1986-02-28,28,,,2,,,,,,,,,1986
,,1986-03-02,2,,,3,,,,,,,,,1986
Burlington,USA,1986-04-01,1,0.0,1.0,4,3.6429,33 years ago,7.0,8.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1986
,,1986-04-15,15,,,4,,,,,,,,,1986
Burlington,USA,1986-04-25,25,0.0,0.0,4,2.7143,33 years ago,16.0,0.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/348/University_of_Vermont"">University of Vermont</a>",1986
,,1986-04-29,29,,,4,,,,,,,,,1986
,,1986-05-16,16,,,5,,,,,,,,,1986
Plainfield,USA,1986-05-17,17,0.0,0.0,5,3.75,33 years ago,3.0,0.0,0.0,VT,3.0,"<a href=""http://phish.net/venue/347/Goddard_College"">Goddard College</a>",1986
Burlington,USA,1986-05-24,24,0.0,0.0,5,3.0,33 years ago,4.0,0.0,0.0,VT,4.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1986
,,1986-06-01,1,,,6,,,,,,,,,1986
,,1986-07-18,18,,,7,,,,,,,,,1986
,,1986-09-03,3,,,9,,,,,,,,,1986
,,1986-09-10,10,,,9,,,,,,,,,1986
,,1986-09-26,26,,,9,,,,,,,,,1986
Plainfield,USA,1986-10-12,12,0.0,0.0,10,3.0,33 years ago,7.0,0.0,0.0,VT,7.0,"<a href=""http://phish.net/venue/424/Haybarn_Theater%2C_Goddard_College"">Haybarn Theater, Goddard College</a>",1986
Burlington,USA,1986-10-15,15,0.0,1.0,10,4.3548,33 years ago,9.0,14.0,3.0,VT,27.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1986
Plainfield,USA,1986-10-31,31,0.0,0.0,10,3.8636,33 years ago,10.0,11.0,0.0,VT,21.0,"<a href=""http://phish.net/venue/426/Sculpture_Room%2C_Goddard_College"">Sculpture Room, Goddard College</a>",1986
,,1986-11-07,7,,,11,,,,,,,,,1986
,,1986-11-14,14,,,11,,,,,,,,,1986
,,1986-11-18,18,,,11,,,,,,,,,1986
