date,rating,state,total_song_count
1998-04-02,4.6149,NY,18.0
1998-04-03,4.6775,NY,16.0
1998-04-04,4.6254,RI,15.0
1998-04-05,4.617,RI,17.0
1998-04-02,4.6149,NY,18.0
1998-04-03,4.6775,NY,16.0
1998-04-04,4.6254,RI,15.0
1998-04-05,4.617,RI,17.0
1983-10-30,,,
1983-12-02,3.9322,VT,8.0
1983-12-03,,,
1984-10-23,4.1667,VT,1.0
1984-11-03,3.1111,VT,11.0
1984-12-01,3.7021,VT,19.0
1985-02-01,4.3333,VT,9.0
1985-02-15,,,
1985-02-22,,,
1985-02-25,,,
1985-03-02,,,
1985-03-04,2.6452,VT,5.0
1985-03-08,4.0,VT,1.0
1985-03-16,2.0,VT,5.0
1985-03-29,,,
1985-04-06,4.1538,VT,20.0
1985-04-19,,,
1985-04-21,,,
1985-05-01,,,
1985-05-03,3.6,VT,18.0
1985-05-07,,,
1985-05-31,3.8,VT,1.0
1985-09-26,3.7857,VT,7.0
1985-09-27,3.5,VT,22.0
1985-10-17,3.0385,VT,11.0
1985-10-20,,,
1985-10-26,,,
1985-10-30,3.25,VT,12.0
1985-11-02,,,
1985-11-14,3.1579,VT,8.0
1985-11-23,3.8065,VT,5.0
1985-12-13,,,
1986-02-03,2.2727,VT,13.0
1986-02-28,,,
1986-03-02,,,
1986-04-01,3.6429,VT,16.0
1986-04-15,,,
1986-04-25,2.7143,VT,16.0
1986-04-29,,,
1986-05-16,,,
1986-05-17,3.75,VT,3.0
1986-05-24,3.0,VT,4.0
1986-06-01,,,
1986-07-18,,,
1986-09-03,,,
1986-09-10,,,
1986-09-26,,,
1986-10-12,3.0,VT,7.0
1986-10-15,4.3548,VT,27.0
1986-10-31,3.8636,VT,21.0
1986-11-07,,,
1986-11-14,,,
1986-11-18,,,
1986-12-06,3.9091,VT,32.0
1987-01-19,,,
1987-01-21,4.0,VT,9.0
1987-02-01,,,
1987-02-02,,,
1987-02-07,,,
1987-02-13,2.375,VT,16.0
1987-02-21,2.9286,VT,19.0
1987-02-27,,,
1987-03-06,3.4706,VT,14.0
1987-03-22,,,
1987-03-23,3.3846,VT,16.0
1987-04-24,3.0526,VT,15.0
1987-04-28,,,
1987-04-29,4.1739,VT,33.0
1987-05-10,,,
1987-05-11,3.1429,VT,22.0
1987-05-12,,,
1987-05-16,,,
1987-05-20,3.9375,VT,10.0
1987-08-09,3.1,VT,29.0
1987-08-10,3.1,VT,26.0
1987-08-21,4.4717,NY,31.0
1987-08-22,,,
1987-08-29,4.25,VT,39.0
1987-09-02,2.0833,VT,13.0
1987-09-03,,,
1987-09-04,,,
1987-09-19,,,
1987-09-20,,,
1987-09-21,3.0833,VT,33.0
1987-09-27,,,
1987-10-10,1.0,VT,2.0
1987-10-14,2.1111,VT,15.0
1987-10-18,,,
1987-10-19,,,
1987-10-21,,,
1987-10-23,,,
1987-10-24,,,
1987-10-31,4.0417,VT,30.0
1987-11-15,,,
1987-11-16,,,
1987-11-17,,,
1987-11-18,2.6364,VT,18.0
1987-11-19,4.0,VT,29.0
1987-11-21,,,
1987-11-22,,,
1987-11-23,,,
1988-01-27,3.0,VT,29.0
1988-02-03,2.0,VT,6.0
1988-02-07,3.2727,VT,30.0
1988-02-08,2.8462,VT,24.0
1988-02-10,,,
1988-02-20,3.3571,NY,20.0
1988-02-24,2.1111,VT,18.0
1988-02-26,1.875,VT,24.0
1988-03-09,,,
1988-03-11,4.1538,VT,20.0
1988-03-12,4.0313,VT,11.0
1988-03-20,,,
1988-03-21,2.1111,VT,16.0
1988-03-22,3.1,VT,15.0
1988-03-31,1.3333,NY,14.0
1988-04-02,2.0,MA,2.0
1988-04-06,,,
1988-04-17,,,
1988-04-18,,,
1988-04-19,,,
