,date,rating,total_song_count
0,1998-04-02,4.6149,18.0
1,1998-04-03,4.6775,16.0
2,1998-04-04,4.6254,15.0
3,1998-04-05,4.617,17.0
4,1998-04-02,4.6149,18.0
5,1998-04-03,4.6775,16.0
6,1998-04-04,4.6254,15.0
7,1998-04-05,4.617,17.0
8,1983-10-30,,
9,1983-12-02,3.9322,8.0
10,1983-12-03,,
11,1984-10-23,4.1667,1.0
12,1984-11-03,3.1111,11.0
13,1984-12-01,3.7021,19.0
14,1985-02-01,4.3333,9.0
15,1985-02-15,,
16,1985-02-22,,
17,1985-02-25,,
18,1985-03-02,,
19,1985-03-04,2.6452,5.0
20,1985-03-08,4.0,1.0
21,1985-03-16,2.0,5.0
22,1985-03-29,,
23,1985-04-06,4.1538,20.0
24,1985-04-19,,
25,1985-04-21,,
26,1985-05-01,,
27,1985-05-03,3.6,18.0
28,1985-05-07,,
29,1985-05-31,3.8,1.0
30,1985-09-26,3.7857,7.0
31,1985-09-27,3.5,22.0
32,1985-10-17,3.0385,11.0
33,1985-10-20,,
34,1985-10-26,,
35,1985-10-30,3.25,12.0
36,1985-11-02,,
37,1985-11-14,3.1579,8.0
38,1985-11-23,3.8065,5.0
39,1985-12-13,,
40,1986-02-03,2.2727,13.0
41,1986-02-28,,
42,1986-03-02,,
43,1986-04-01,3.6429,16.0
44,1986-04-15,,
45,1986-04-25,2.7143,16.0
46,1986-04-29,,
47,1986-05-16,,
48,1986-05-17,3.75,3.0
49,1986-05-24,3.0,4.0
50,1986-06-01,,
51,1986-07-18,,
52,1986-09-03,,
53,1986-09-10,,
54,1986-09-26,,
55,1986-10-12,3.0,7.0
56,1986-10-15,4.3548,27.0
57,1986-10-31,3.8636,21.0
58,1986-11-07,,
59,1986-11-14,,
60,1986-11-18,,
61,1986-12-06,3.9091,32.0
62,1987-01-19,,
63,1987-01-21,4.0,9.0
64,1987-02-01,,
65,1987-02-02,,
66,1987-02-07,,
67,1987-02-13,2.375,16.0
68,1987-02-21,2.9286,19.0
69,1987-02-27,,
70,1987-03-06,3.4706,14.0
71,1987-03-22,,
72,1987-03-23,3.3846,16.0
73,1987-04-24,3.0526,15.0
74,1987-04-28,,
75,1987-04-29,4.1739,33.0
76,1987-05-10,,
77,1987-05-11,3.1429,22.0
78,1987-05-12,,
79,1987-05-16,,
80,1987-05-20,3.9375,10.0
81,1987-08-09,3.1,29.0
82,1987-08-10,3.1,26.0
83,1987-08-21,4.4717,31.0
84,1987-08-22,,
85,1987-08-29,4.25,39.0
86,1987-09-02,2.0833,13.0
87,1987-09-03,,
88,1987-09-04,,
89,1987-09-19,,
90,1987-09-20,,
91,1987-09-21,3.0833,33.0
92,1987-09-27,,
93,1987-10-10,1.0,2.0
94,1987-10-14,2.1111,15.0
95,1987-10-18,,
96,1987-10-19,,
97,1987-10-21,,
98,1987-10-23,,
99,1987-10-24,,
100,1987-10-31,4.0417,30.0
101,1987-11-15,,
102,1987-11-16,,
103,1987-11-17,,
104,1987-11-18,2.6364,18.0
105,1987-11-19,4.0,29.0
106,1987-11-21,,
107,1987-11-22,,
108,1987-11-23,,
109,1988-01-27,3.0,29.0
110,1988-02-03,2.0,6.0
111,1988-02-07,3.2727,30.0
112,1988-02-08,2.8462,24.0
113,1988-02-10,,
114,1988-02-20,3.3571,20.0
115,1988-02-24,2.1111,18.0
116,1988-02-26,1.875,24.0
117,1988-03-09,,
118,1988-03-11,4.1538,20.0
119,1988-03-12,4.0313,11.0
120,1988-03-20,,
121,1988-03-21,2.1111,16.0
122,1988-03-22,3.1,15.0
123,1988-03-31,1.3333,14.0
124,1988-04-02,2.0,2.0
125,1988-04-06,,
126,1988-04-17,,
127,1988-04-18,,
128,1988-04-19,,
129,1988-04-22,3.0,20.0
130,1988-04-27,,
131,1988-04-30,,
132,1988-05-01,,
133,1988-05-02,,
134,1988-05-03,,
135,1988-05-05,,
136,1988-05-08,,
137,1988-05-12,,
138,1988-05-14,2.5,13.0
139,1988-05-15,3.3571,25.0
140,1988-05-21,3.5714,24.0
141,1988-05-22,,
142,1988-05-23,2.3636,9.0
143,1988-05-24,4.3953,26.0
144,1988-05-27,,
145,1988-05-28,,
146,1988-06-03,,
147,1988-06-04,,
148,1988-06-15,2.4286,23.0
149,1988-06-17,,
150,1988-06-19,2.3333,23.0
151,1988-06-20,3.5833,20.0
152,1988-06-21,2.8182,21.0
153,1988-06-23,,
154,1988-06-24,1.75,7.0
155,1988-06-27,,
156,1988-07-07,3.75,12.0
157,1988-07-08,,
158,1988-07-11,1.9,14.0
159,1988-07-12,3.1429,17.0
160,1988-07-23,4.4762,35.0
161,1988-07-24,3.7778,26.0
162,1988-07-25,3.8125,12.0
163,1988-07-28,1.0,8.0
164,1988-07-29,3.9375,24.0
165,1988-07-30,3.8889,22.0
166,1988-08-03,3.9091,24.0
167,1988-08-04,3.9091,32.0
168,1988-08-05,3.6667,27.0
169,1988-08-06,,
170,1988-08-09,,
171,1988-08-11,,
172,1988-08-12,,
173,1988-08-13,3.0,18.0
174,1988-08-17,,
175,1988-08-18,,
176,1988-08-21,,
177,1988-08-22,3.6,11.0
178,1988-08-24,,
179,1988-08-25,,
180,1988-08-27,3.2,11.0
181,1988-08-29,,
182,1988-08-30,,
183,1988-09-08,4.0,16.0
184,1988-09-09,,
185,1988-09-10,,
186,1988-09-12,3.0,14.0
187,1988-09-13,3.3,23.0
188,1988-09-16,,
189,1988-09-22,3.0,5.0
190,1988-09-24,4.3659,26.0
191,1988-10-28,,
192,1988-10-29,4.0,34.0
193,1988-11-03,3.4,24.0
194,1988-11-04,1.0,1.0
195,1988-11-05,2.8333,28.0
196,1988-11-11,3.375,18.0
197,1988-12-02,2.6,15.0
198,1988-12-09,1.0,1.0
199,1988-12-10,3.0,22.0
200,1988-12-11,,
201,1988-12-12,,
202,1988-12-15,,
203,1988-12-16,,
204,1988-12-17,3.1429,8.0
205,1989-01-18,1.6667,1.0
206,1989-01-20,,
207,1989-01-21,,
208,1989-01-25,,
209,1989-01-26,4.0,24.0
210,1989-01-28,,
211,1989-02-01,,
212,1989-02-05,,
213,1989-02-06,3.8421,24.0
214,1989-02-07,3.8182,27.0
215,1989-02-10,,
216,1989-02-11,1.0,2.0
217,1989-02-17,3.75,10.0
218,1989-02-18,2.1111,22.0
219,1989-02-23,3.0,2.0
220,1989-02-24,2.6667,14.0
221,1989-02-25,,
222,1989-03-01,4.1818,29.0
223,1989-03-03,2.5556,26.0
224,1989-03-04,3.2,13.0
225,1989-03-05,3.5,0.0
226,1989-03-11,,
227,1989-03-12,1.8462,10.0
228,1989-03-13,2.5,15.0
229,1989-03-14,2.6364,22.0
230,1989-03-24,1.0909,10.0
231,1989-03-25,,
232,1989-03-30,2.4444,23.0
233,1989-03-31,1.0,1.0
234,1989-04-01,1.0,1.0
235,1989-04-02,,
236,1989-04-07,4.0,2.0
237,1989-04-13,1.0,4.0
238,1989-04-14,3.9333,19.0
239,1989-04-15,2.9,24.0
240,1989-04-19,1.0,1.0
241,1989-04-20,4.1538,22.0
242,1989-04-21,3.6,2.0
243,1989-04-22,,
244,1989-04-27,3.9375,13.0
245,1989-04-28,,
246,1989-04-29,,
247,1989-04-30,3.0,10.0
248,1989-05-01,2.4,22.0
249,1989-05-03,1.0,4.0
250,1989-05-05,3.25,14.0
251,1989-05-06,2.3,21.0
252,1989-05-07,,
253,1989-05-08,,
254,1989-05-09,3.5833,23.0
255,1989-05-11,,
256,1989-05-13,3.4167,22.0
257,1989-05-14,1.0,7.0
258,1989-05-18,,
259,1989-05-19,1.0,2.0
260,1989-05-20,2.4286,20.0
261,1989-05-21,2.8,15.0
262,1989-05-26,4.0,20.0
263,1989-05-27,2.375,11.0
264,1989-05-28,4.3421,32.0
265,1989-05-30,,
266,1989-06-03,,
267,1989-06-08,,
268,1989-06-10,2.9231,7.0
269,1989-06-14,1.0,0.0
270,1989-06-16,,
271,1989-06-17,,
272,1989-06-23,3.7368,20.0
273,1989-06-29,1.1429,3.0
274,1989-06-30,3.9375,15.0
275,1989-07-01,3.3333,14.0
276,1989-08-11,,
277,1989-08-12,3.0769,24.0
278,1989-08-13,,
279,1989-08-17,2.8182,27.0
280,1989-08-18,,
281,1989-08-19,3.0,26.0
282,1989-08-23,,
283,1989-08-25,,
284,1989-08-26,4.4935,25.0
285,1989-09-01,,
286,1989-09-02,,
287,1989-09-06,,
288,1989-09-07,,
289,1989-09-08,,
290,1989-09-09,3.0909,21.0
291,1989-09-13,,
292,1989-09-14,1.2222,11.0
293,1989-09-16,1.0,2.0
294,1989-09-20,,
295,1989-09-21,3.0,21.0
296,1989-10-01,4.0,26.0
297,1989-10-06,1.6667,14.0
298,1989-10-07,3.0,23.0
299,1989-10-10,2.2,15.0
300,1989-10-12,4.0,16.0
301,1989-10-13,1.0,12.0
302,1989-10-14,3.1111,17.0
303,1989-10-20,3.625,22.0
304,1989-10-21,2.6667,21.0
305,1989-10-22,2.8182,27.0
306,1989-10-26,4.1,26.0
307,1989-10-28,3.5,10.0
308,1989-10-31,3.7895,23.0
309,1989-11-02,3.5,22.0
310,1989-11-03,3.0833,16.0
311,1989-11-04,,
312,1989-11-09,2.4615,19.0
313,1989-11-10,3.0833,26.0
314,1989-11-11,1.8,8.0
315,1989-11-16,1.8889,15.0
316,1989-11-18,1.0,11.0
317,1989-11-30,3.2308,24.0
318,1989-12-01,3.1111,23.0
319,1989-12-02,,
320,1989-12-03,2.2857,25.0
321,1989-12-04,,
322,1989-12-06,,
323,1989-12-07,3.375,24.0
324,1989-12-08,2.7692,20.0
325,1989-12-09,2.8571,22.0
326,1989-12-15,3.2308,18.0
327,1989-12-16,2.2222,10.0
328,1989-12-29,2.4,10.0
329,1989-12-30,3.0,15.0
330,1989-12-31,3.0,19.0
331,1990-01-02,,
332,1990-01-13,,
333,1990-01-19,,
334,1990-01-20,3.3684,20.0
335,1990-01-25,2.2,23.0
336,1990-01-26,3.1538,15.0
337,1990-01-27,3.1429,21.0
338,1990-01-28,3.9412,21.0
339,1990-01-29,2.5,10.0
340,1990-01-31,,
341,1990-02-01,2.4444,12.0
342,1990-02-02,,
343,1990-02-03,3.5,3.0
344,1990-02-04,,
345,1990-02-05,2.8,13.0
346,1990-02-07,,
347,1990-02-08,3.6667,9.0
348,1990-02-09,3.1667,24.0
349,1990-02-10,2.8462,22.0
350,1990-02-15,2.2143,16.0
351,1990-02-16,2.6923,16.0
352,1990-02-17,3.9231,16.0
353,1990-02-22,3.0,9.0
354,1990-02-23,3.2,27.0
355,1990-02-24,2.8182,20.0
356,1990-02-25,3.6923,17.0
357,1990-03-01,2.9167,16.0
358,1990-03-02,3.5,16.0
359,1990-03-03,3.8571,20.0
360,1990-03-05,1.0,1.0
361,1990-03-07,2.4,16.0
362,1990-03-08,2.1053,24.0
363,1990-03-09,3.3571,23.0
364,1990-03-10,2.0,12.0
365,1990-03-11,3.0,27.0
366,1990-03-16,,
367,1990-03-17,3.1538,17.0
368,1990-03-27,,
369,1990-03-28,3.7368,28.0
370,1990-03-29,3.0,1.0
371,1990-03-30,,
372,1990-03-31,,
373,1990-04-01,,
374,1990-04-04,3.3636,20.0
375,1990-04-05,3.6154,23.0
376,1990-04-06,2.4,25.0
377,1990-04-07,2.4444,27.0
378,1990-04-08,3.2,20.0
379,1990-04-09,2.75,27.0
380,1990-04-11,,
381,1990-04-12,3.75,23.0
382,1990-04-13,3.0,20.0
383,1990-04-14,3.0,21.0
384,1990-04-18,3.0769,22.0
385,1990-04-19,3.6667,8.0
386,1990-04-20,2.7,23.0
387,1990-04-21,3.0714,20.0
388,1990-04-22,3.9,23.0
389,1990-04-24,,
390,1990-04-25,2.4167,16.0
391,1990-04-26,2.7273,21.0
392,1990-04-28,3.0714,22.0
393,1990-04-29,4.1667,14.0
394,1990-05-03,,
395,1990-05-04,3.6154,25.0
396,1990-05-05,,
397,1990-05-06,3.9286,15.0
398,1990-05-07,2.5385,9.0
399,1990-05-09,1.0,3.0
400,1990-05-10,3.5455,17.0
401,1990-05-11,3.5833,18.0
402,1990-05-12,1.0,1.0
403,1990-05-13,3.6,22.0
404,1990-05-15,2.5455,22.0
405,1990-05-19,2.6667,21.0
406,1990-05-23,3.0,21.0
407,1990-05-24,3.3333,21.0
408,1990-05-25,2.3333,10.0
409,1990-05-26,,
410,1990-05-28,3.3333,0.0
411,1990-05-30,1.0,21.0
412,1990-05-31,2.7,14.0
413,1990-06-01,3.4375,24.0
414,1990-06-02,2.2,17.0
415,1990-06-05,3.0,26.0
416,1990-06-06,3.0,6.0
417,1990-06-07,2.9,22.0
418,1990-06-08,2.75,16.0
419,1990-06-09,3.3571,27.0
420,1990-06-16,4.0625,35.0
421,1990-06-17,3.875,22.0
422,1990-07-08,,
423,1990-08-04,3.6667,2.0
424,1990-09-02,,
425,1990-09-13,4.0345,28.0
426,1990-09-14,3.5294,21.0
427,1990-09-15,4.1111,24.0
428,1990-09-16,2.9,15.0
429,1990-09-17,,
430,1990-09-18,,
431,1990-09-20,3.9412,25.0
432,1990-09-21,3.1818,20.0
433,1990-09-22,4.1667,25.0
434,1990-09-27,,
435,1990-09-28,3.2143,18.0
436,1990-09-29,2.8571,20.0
437,1990-09-30,1.0,2.0
438,1990-10-01,2.6364,24.0
439,1990-10-03,3.4,23.0
440,1990-10-04,3.2941,19.0
441,1990-10-05,3.2857,24.0
442,1990-10-06,3.2222,16.0
443,1990-10-07,3.6842,23.0
444,1990-10-08,2.6667,19.0
445,1990-10-10,3.0,18.0
446,1990-10-11,2.0,17.0
447,1990-10-12,3.1818,23.0
448,1990-10-13,2.3333,21.0
